Year;Age;Female;Male;Total
2019;0;0.003335;0.00396;0.003653
2019;1;0.0003;0.00029;0.000293
2019;2;0.000107;0.00009;0.000098
2019;3;0.000059;0.00015;0.000103
2019;4;0.000058;0.00009;0.000074
2019;5;0.000058;0.00010;0.000079
2019;6;0.000035;0.00007;0.000051
2019;7;0.000068;0.00005;0.00006
2019;8;0.000044;0.00002;0.000032
2019;9;0.000065;0.00003;0.000048
2019;10;0.000054;0.00006;0.000058
2019;11;0.000033;0.00007;0.000053
2019;12;0.000065;0.00008;0.000074
2019;13;0.000097;0.00007;0.000084
2019;14;0.000052;0.00010;0.000077
2019;15;0.000112;0.00020;0.000154
2019;16;0.000139;0.00010;0.000121
2019;17;0.000198;0.00025;0.000222
2019;18;0.000171;0.00028;0.000228
2019;19;0.000194;0.00039;0.000294
2019;20;0.000138;0.00043;0.000285
2019;21;0.000178;0.00038;0.000278
2019;22;0.000244;0.00047;0.000356
2019;23;0.000257;0.00038;0.000318
2019;24;0.000204;0.00035;0.000278
2019;25;0.000136;0.00037;0.000255
2019;26;0.000227;0.00041;0.000317
2019;27;0.000268;0.00044;0.000356
2019;28;0.000301;0.00043;0.000366
2019;29;0.000296;0.00038;0.00034
2019;30;0.000284;0.00041;0.000345
2019;31;0.000258;0.00051;0.000386
2019;32;0.00036;0.00051;0.000434
2019;33;0.000389;0.00052;0.000455
2019;34;0.000419;0.00063;0.000524
2019;35;0.000444;0.00071;0.00058
2019;36;0.000374;0.00074;0.000558
2019;37;0.000368;0.00061;0.000488
2019;38;0.00052;0.00085;0.000685
2019;39;0.000512;0.00085;0.000681
2019;40;0.000725;0.00088;0.0008
2019;41;0.000635;0.00113;0.000884
2019;42;0.000761;0.00114;0.000951
2019;43;0.000807;0.00124;0.001021
2019;44;0.000879;0.00128;0.001079
2019;45;0.001035;0.00141;0.001219
2019;46;0.001222;0.00145;0.001335
2019;47;0.001261;0.00171;0.001482
2019;48;0.001178;0.00177;0.001475
2019;49;0.001568;0.00216;0.001865
2019;50;0.001628;0.00233;0.00198
2019;51;0.001981;0.00264;0.002309
2019;52;0.002319;0.00274;0.002532
2019;53;0.002405;0.00318;0.002793
2019;54;0.00254;0.00329;0.002916
2019;55;0.002973;0.00390;0.003437
2019;56;0.003261;0.00425;0.003756
2019;57;0.003407;0.00500;0.004203
2019;58;0.004084;0.00529;0.004687
2019;59;0.004434;0.00606;0.005246
2019;60;0.004842;0.00661;0.005723
2019;61;0.005491;0.00707;0.006279
2019;62;0.006056;0.00788;0.006962
2019;63;0.006507;0.00854;0.007519
2019;64;0.007179;0.01007;0.008612
2019;65;0.007835;0.01109;0.009454
2019;66;0.00818;0.01187;0.01001
2019;67;0.00915;0.01280;0.010961
2019;68;0.01047;0.01429;0.012359
2019;69;0.010899;0.01623;0.013529
2019;70;0.012372;0.01754;0.014919
2019;71;0.013135;0.01877;0.0159
2019;72;0.014506;0.02136;0.017853
2019;73;0.016362;0.02390;0.020024
2019;74;0.017944;0.02677;0.022189
2019;75;0.021112;0.03121;0.025944
2019;76;0.022464;0.03372;0.02781
2019;77;0.024737;0.03707;0.030533
2019;78;0.028776;0.04154;0.034701
2019;79;0.032407;0.04862;0.039799
2019;80;0.036057;0.05609;0.045029
2019;81;0.041843;0.06063;0.050124
2019;82;0.048704;0.06999;0.057866
2019;83;0.055684;0.07968;0.065769
2019;84;0.064955;0.09125;0.075697
2019;85;0.071934;0.10682;0.085686
2019;86;0.086783;0.11702;0.098266
2019;87;0.098011;0.13901;0.113058
2019;88;0.115408;0.15699;0.12999
2019;89;0.131933;0.17444;0.146205
2019;90;0.157984;0.19730;0.17064
2019;91;0.174325;0.22198;0.18894
2019;92;0.202296;0.24296;0.21411
2019;93;0.227886;0.28599;0.243793
2019;94;0.245357;0.30028;0.259398
2019;95;0.27089;0.32270;0.283296
2019;96;0.316842;0.37850;0.330743
2019;97;0.354615;0.37968;0.359966
2019;98;0.354124;0.43530;0.370664
2019;99;0.404258;0.47953;0.418625
2019;100;0.47227;0.53386;0.482934
2019;101;0.502967;0.58033;0.515417
2019;102;0.548145;0.64139;0.562367
2019;103;0.584441;0.69985;0.600767
2019;104;0.61782;0.77234;0.638242
2019;105;0.660964;0.91189;0.690872
2019;106;0.708861;1.38571;0.766349
2019;107;0.779246;2.71784;0.871544
2019;108;0.901401;5.76846;0.977354
